date,Unnamed: 0,impressions,date,reach,comments,likes
2022-08-05,621,32,2022-08-05,24,0.0,0.0
2022-08-06,622,48,2022-08-06,24,0.0,0.0
2022-08-08,625,83,2022-08-08,20,0.0,0.0
2022-08-09,626,52,2022-08-09,25,0.0,0.0
2022-08-10,627,116,2022-08-10,23,0.0,0.0
2022-08-11,628,816,2022-08-11,678,0.0,0.0
2022-08-12,629,387,2022-08-12,371,0.0,0.0
2022-08-13,630,194,2022-08-13,184,0.0,0.0
2022-08-15,633,162,2022-08-15,91,0.0,0.0
2022-08-16,634,61,2022-08-16,47,0.0,0.0
2022-08-17,635,89,2022-08-17,38,0.0,0.0
2022-08-18,636,35,2022-08-18,27,0.0,0.0
2022-08-19,637,45,2022-08-19,36,0.0,0.0
2022-08-20,638,19,2022-08-20,14,0.0,0.0
2022-08-22,641,175,2022-08-22,95,0.0,0.0
2022-08-23,642,93,2022-08-23,51,0.0,0.0
2022-08-24,643,47,2022-08-24,23,0.0,0.0
2022-08-25,644,430,2022-08-25,316,0.0,0.0
2022-08-26,645,190,2022-08-26,66,0.0,0.0
2022-08-27,646,116,2022-08-27,50,0.0,0.0
2022-08-29,649,97,2022-08-29,36,0.0,0.0
2022-08-30,650,179,2022-08-30,28,0.0,0.0
2022-08-31,651,53,2022-08-31,20,0.0,0.0
2022-09-01,652,529,2022-09-01,412,0.0,0.0
